Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
PTT Los Angeles Men,2025-01-04,Emon Van Loben Sels,Aadarsh Tripathi,13.59,12.91,"3-6, 6-4, 6-2"
PTT Los Angeles Men,2025-01-04,Emon Van Loben Sels,Aadarsh Tripathi,13.59,12.91,"3-6, 6-4, 6-2"
PTT Los Angeles Men,2025-01-03,Aadarsh Tripathi,Hudson Rivera,12.91,12.0,"6-4, 7-6(6)"
PTT Los Angeles Men,2025-01-03,Emon Van Loben Sels,Alexander Hoogmartens,13.59,13.0,
PTT Los Angeles Men,2025-01-03,Emon Van Loben Sels,Alexander Hoogmartens,13.59,13.0,
M15 HUAMANTLA,2024-12-09,Juan Bianchi,Cassius Chinlund,12.69,12.34,"6-2, 6-2"
M15 HUAMANTLA,2024-12-08,Cassius Chinlund,Juan Pablo Valdez Guzon,12.34,12.05,
2024-25 NCAA Division I Men's Tennis Championship,2024-11-23,Timo Legout,Spencer Johnson,14.23,13.43,"6-3, 6-2"
2024-25 NCAA Division I Men's Tennis Championship,2024-11-23,Spencer Johnson,Braden Shick,13.43,13.49,"6-1, 3-6, 7-6(4)"
2024-25 NCAA Division I Men's Tennis Championship,2024-11-23,Spencer Johnson,Kenta Miyoshi,13.43,13.97,"6-3, 6-4"
2024-25 NCAA Division I Men's Tennis Championship,2024-11-23,Emon Van Loben Sels,Alexander Chang,13.59,13.0,"6-2, 7-5"
